#Parameters = {ApertureA=7300; ApertureB=6000; Horn_Height=7300; ProbeHeight=1333; ProbeL=2000; ProbeR=23.5; ProbeRin=69.2; ProbeRout=72; R=10000; Thickness=3; WGH=3200; WGL=3000; WGW=2000}
#"Frequency / GHz"	"S1,1 (1) [Magnitude / dB]"
#---------------------------------------------
0.072499997913837	-15.294866774273
0.072549998760223	-15.288379070434
0.072599999606609	-15.283674423549
0.072650000452995	-15.280754757761
0.072700001299381	-15.279617921553
0.072750002145767	-15.280267741764
0.072800002992153	-15.282705875923
0.072849996387959	-15.286934198165
0.072899997234344	-15.292952872643
0.072949998080730	-15.300766160627
0.072999998927116	-15.310373509506
0.073049999773502	-15.321776573977
0.073100000619888	-15.334974165962
0.073150001466274	-15.349963477279
0.073200002312660	-15.366747278413
0.073250003159046	-15.385319784969
0.073299996554852	-15.405677395789
0.073349997401237	-15.427814028913
0.073399998247623	-15.451726066555
0.073449999094009	-15.477402229823
0.073499999940395	-15.504836998283
0.073550000786781	-15.534019487112
0.073600001633167	-15.564937063592
0.073650002479553	-15.597577524786
0.073700003325939	-15.631924112828
0.073749996721745	-15.667965464770
0.073799997568130	-15.705683552053
0.073849998414516	-15.745058634062
0.073899999260902	-15.786073198000
0.073950000107288	-15.828705259329
0.074000000953674	-15.872937146508
0.074050001800060	-15.918744279237
0.074100002646446	-15.966107105297
0.074150003492832	-16.015003237545
0.074199996888638	-16.065407679497
0.074249997735023	-16.117299930648
0.074299998581409	-16.170656891972
0.074349999427795	-16.225457925405
0.074400000274181	-16.281680115040
0.074450001120567	-16.339302279663
0.074500001966953	-16.398305510332
0.074550002813339	-16.458673477673
0.074600003659725	-16.520389683025
0.074649997055531	-16.583434848794
0.074699997901917	-16.647802980939
0.074749998748302	-16.713477927805
0.074799999594688	-16.780453280951
0.074850000441074	-16.848723868776
0.074900001287460	-16.918288116789
0.074950002133846	-16.989142869380
0.075000002980232	-17.061293395289
0.075049996376038	-17.134745798339
0.075099997222424	-17.209506457628
0.075149998068810	-17.285592804300
0.075199998915195	-17.363018115939
0.075249999761581	-17.441802574074
0.075300000607967	-17.521968390984
0.075350001454353	-17.603541247998
0.075400002300739	-17.686551324207
0.075450003147125	-17.771029028120
0.075499996542931	-17.857010075326
0.075549997389317	-17.944533001579
0.075599998235703	-18.033636480973
0.075649999082088	-18.124366124228
0.075699999928474	-18.216763766101
0.075750000774860	-18.310878126299
0.075800001621246	-18.406758235747
0.075850002467632	-18.504451097813
0.075900003314018	-18.604009060505
0.075949996709824	-18.705482140842
0.075999997556210	-18.808925403133
0.076049998402596	-18.914387679649
0.076099999248981	-19.021920734100
0.076150000095367	-19.131576841915
0.076200000941753	-19.243407003575
0.076250001788139	-19.357456780652
0.076300002634525	-19.473776692002
0.076350003480911	-19.592411189884
0.076399996876717	-19.713405630246
0.076449997723103	-19.836797278659
0.076499998569489	-19.962627506372
0.076549999415874	-20.090931875720
0.076600000262260	-20.221742421877
0.076650001108646	-20.355089628072
0.076700001955032	-20.490999934958
0.076750002801418	-20.629495136051
0.076800003647804	-20.770593938757
